Longitude,Latitude,Rate
-80.00000,-37.00000,0.001
-79.00000,-37.00000,0.001
-78.00000,-37.00000,0.001
-77.00000,-37.00000,0.001
-76.00000,-37.00000,0.001
-75.00000,-37.00000,0.001
-74.00000,-37.00000,0.002
-73.00000,-37.00000,0.002
-72.00000,-37.00000,0.002
-71.00000,-37.00000,0.003
-70.00000,-37.00000,0.003
-69.00000,-37.00000,0.004
-68.00000,-37.00000,0.004
-67.00000,-37.00000,0.005
-66.00000,-37.00000,0.006
-65.00000,-37.00000,0.007
-64.00000,-37.00000,0.008
-63.00000,-37.00000,0.009
-62.00000,-37.00000,0.009
-61.00000,-37.00000,0.009
-60.00000,-37.00000,0.010
-59.00000,-37.00000,0.012
-58.00000,-37.00000,0.013
-57.00000,-37.00000,0.013
-56.00000,-37.00000,0.013
-55.00000,-37.00000,0.014
-54.00000,-37.00000,0.014
-53.00000,-37.00000,0.016
-52.00000,-37.00000,0.018
-51.00000,-37.00000,0.020
-50.00000,-37.00000,0.021
-49.00000,-37.00000,0.023
-48.00000,-37.00000,0.025
-47.00000,-37.00000,0.026
-46.00000,-37.00000,0.025
-45.00000,-37.00000,0.022
-44.00000,-37.00000,0.020
-43.00000,-37.00000,0.018
-42.00000,-37.00000,0.015
-41.00000,-37.00000,0.013
-40.00000,-37.00000,0.012
-39.00000,-37.00000,0.010
-38.00000,-37.00000,0.009
-37.00000,-37.00000,0.007
-36.00000,-37.00000,0.006
-35.00000,-37.00000,0.005
-34.00000,-37.00000,0.004
-33.00000,-37.00000,0.004
-32.00000,-37.00000,0.003
-31.00000,-37.00000,0.002
-80.00000,-36.00000,0.001
-79.00000,-36.00000,0.001
-78.00000,-36.00000,0.001
-77.00000,-36.00000,0.001
-76.00000,-36.00000,0.001
-75.00000,-36.00000,0.002
-74.00000,-36.00000,0.002
-73.00000,-36.00000,0.002
-72.00000,-36.00000,0.003
-71.00000,-36.00000,0.003
-70.00000,-36.00000,0.004
-69.00000,-36.00000,0.005
-68.00000,-36.00000,0.006
-67.00000,-36.00000,0.007
-66.00000,-36.00000,0.008
-65.00000,-36.00000,0.009
-64.00000,-36.00000,0.010
-63.00000,-36.00000,0.011
-62.00000,-36.00000,0.012
-61.00000,-36.00000,0.014
-60.00000,-36.00000,0.015
-59.00000,-36.00000,0.017
-58.00000,-36.00000,0.019
-57.00000,-36.00000,0.019
-56.00000,-36.00000,0.020
-55.00000,-36.00000,0.021
-54.00000,-36.00000,0.022
-53.00000,-36.00000,0.023
-52.00000,-36.00000,0.023
-51.00000,-36.00000,0.024
-50.00000,-36.00000,0.025
-49.00000,-36.00000,0.026
-48.00000,-36.00000,0.028
-47.00000,-36.00000,0.030
-46.00000,-36.00000,0.030
-45.00000,-36.00000,0.027
-44.00000,-36.00000,0.024
-43.00000,-36.00000,0.021
-42.00000,-36.00000,0.019
-41.00000,-36.00000,0.016
-40.00000,-36.00000,0.015
-39.00000,-36.00000,0.012
-38.00000,-36.00000,0.011
-37.00000,-36.00000,0.010
-36.00000,-36.00000,0.009
-35.00000,-36.00000,0.007
-34.00000,-36.00000,0.006
-33.00000,-36.00000,0.005
-32.00000,-36.00000,0.004
-31.00000,-36.00000,0.003
-80.00000,-35.00000,0.001
-79.00000,-35.00000,0.001
-78.00000,-35.00000,0.001
-77.00000,-35.00000,0.001
-76.00000,-35.00000,0.002
-75.00000,-35.00000,0.002
-74.00000,-35.00000,0.002
-73.00000,-35.00000,0.003
-72.00000,-35.00000,0.004
-71.00000,-35.00000,0.005
-70.00000,-35.00000,0.006
-69.00000,-35.00000,0.006
-68.00000,-35.00000,0.008
-67.00000,-35.00000,0.009
-66.00000,-35.00000,0.010
-65.00000,-35.00000,0.012
-64.00000,-35.00000,0.013
-63.00000,-35.00000,0.015
-62.00000,-35.00000,0.016
-61.00000,-35.00000,0.017
-60.00000,-35.00000,0.018
-59.00000,-35.00000,0.021
-58.00000,-35.00000,0.026
-57.00000,-35.00000,0.027
-56.00000,-35.00000,0.029
-55.00000,-35.00000,0.031
-54.00000,-35.00000,0.032
-53.00000,-35.00000,0.033
-52.00000,-35.00000,0.034
-51.00000,-35.00000,0.035
-50.00000,-35.00000,0.036
-49.00000,-35.00000,0.037
